Timestamp,MessageId,MessageType,SendTimestamp,ReceiveTimestamp,QueueTimestamp,ApplyTimestamp,RenderStartTimestamp,RenderEndTimestamp,EndToEndLatency,ProcessingLatency,RenderLatency,QueueDepth,UIRenderQueueDepth,CPUUsage,MemoryUsage,Gen0Collections,Gen1Collections,Gen2Collections
# SUMMARY 2025-09-14 10:42:39.545: Messages=0, Throughput=0.0/sec, IntervalThroughput=0.0/sec, E2E_Latency_P50=0ms, E2E_Latency_P95=0ms, E2E_Latency_P99=0ms, Processing_P50=0ms, Processing_P95=0ms, Processing_P99=0ms, Render_P50=0ms, Render_P95=0ms, Render_P99=0ms, CPU=100.0%, Memory=199MB, UIQueue=0, GC_Gen0=1, GC_Gen1=1, GC_Gen2=0
2025-09-14 10:42:47.093,OrderBook,1757846567020,1757846567052,1757846567053,1757846567056,0,0,-1757846567020,4,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567026,1757846567053,1757846567096,1757846567204,1757846567110,1757846567110,84,151,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567031,1757846567053,1757846567096,1757846567205,1757846567110,1757846567110,79,152,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567034,1757846567053,1757846567096,1757846567209,1757846567110,1757846567110,76,156,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567040,1757846567053,1757846567096,1757846567209,1757846567110,1757846567110,70,156,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567050,1757846567053,1757846567096,1757846567209,1757846567110,1757846567110,60,156,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567061,1757846567061,1757846567096,1757846567209,1757846567110,1757846567110,49,148,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567071,1757846567071,1757846567096,1757846567209,1757846567110,1757846567110,39,138,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567081,1757846567081,1757846567096,1757846567209,1757846567110,1757846567110,29,128,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567091,1757846567092,1757846567096,1757846567209,1757846567110,1757846567110,19,117,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567101,1757846567102,1757846567102,1757846567209,1757846567110,1757846567110,9,107,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567111,1757846567112,1757846567112,1757846567209,1757846567110,1757846567110,-1,97,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567121,1757846567122,1757846567122,1757846567209,1757846567110,1757846567110,-11,87,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567141,1757846567142,1757846567142,1757846567209,1757846567110,1757846567110,-31,67,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567152,1757846567152,1757846567152,1757846567209,1757846567110,1757846567110,-42,57,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567162,1757846567163,1757846567163,1757846567209,1757846567110,1757846567110,-52,46,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,OrderBook,1757846567173,1757846567173,1757846567173,1757846567209,1757846567110,1757846567110,-63,36,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567183,1757846567183,1757846567183,1757846567209,1757846567110,1757846567110,-73,26,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567193,1757846567194,1757846567194,1757846567209,1757846567110,1757846567110,-83,15,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.213,TradeBook,1757846567204,1757846567204,1757846567204,1757846567209,1757846567110,1757846567110,-94,5,0,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567214,1757846567215,1757846567215,1757846567322,1757846567214,1757846567216,2,107,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567229,1757846567229,1757846567229,1757846567322,1757846567214,1757846567216,-13,93,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567239,1757846567239,1757846567239,1757846567322,1757846567214,1757846567216,-23,83,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567249,1757846567250,1757846567250,1757846567322,1757846567214,1757846567216,-33,72,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567260,1757846567260,1757846567260,1757846567322,1757846567214,1757846567216,-44,62,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,TradeBook,1757846567270,1757846567270,1757846567270,1757846567322,1757846567214,1757846567216,-54,52,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567281,1757846567281,1757846567281,1757846567322,1757846567214,1757846567216,-65,41,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,TradeBook,1757846567290,1757846567291,1757846567291,1757846567322,1757846567214,1757846567216,-74,31,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,TradeBook,1757846567301,1757846567301,1757846567301,1757846567322,1757846567214,1757846567216,-85,21,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567311,1757846567312,1757846567312,1757846567322,1757846567214,1757846567216,-95,10,2,0,0,50.0,199,3,1,1
2025-09-14 10:42:47.322,OrderBook,1757846567321,1757846567322,1757846567322,1757846567322,1757846567214,1757846567216,-105,0,2,0,0,50.0,199,3,1,1
